ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
24945,Earlylds,S22891,,,"Book - John M. Browning, American Gunmaker","Browning, John and Gentry, Curt","New York: Doubleday, 1964",,,,,REPO2,"0000-00-00 00:00:00",Larry
26038,Earlylds,S23984,,,"Article - ""A Pioneer's Account Book""","Lambert, A. C.",,,,,,REPO2,"0000-00-00 00:00:00",Larry
26753,Earlylds,S24699,,,"Manuscript - Martha A. Tutttle Gardner","Gardner, Martha A. Tuttle",Autobiography,,,,,REPO2,"0000-00-00 00:00:00",Larry
27176,Earlylds,S25122,,,"Book - In Sacred Loneliness: The Plural Wives of Joseph Smith","Compton, Todd","Salt Lake City, Utah, Signature Books, 1997",,,,,REPO2,"0000-00-00 00:00:00",Larry
27177,Earlylds,S25123,,,"Manuscript - Papers of Emily Dow Partridge Young",,,,,,,REPO29,"0000-00-00 00:00:00",Larry
27406,Earlylds,S25352,,,"Internet Link - Mormons and Their Neighbors","Marvin Wiggins, Compiler","Brigham Young University, Provo, Utah, USA",,,,,REPO30,"2008-10-23 04:08:01",Larry
27729,Earlylds,S25675,,,"Article - ""Mormon Battalion Families, 'Adelia Miria Clemmons Gribble'""",,"Nauvoo Historical Records 1839-1846",,,,,REPO7,"0000-00-00 00:00:00",Larry
28416,Earlylds,S26362,,,"Internet Link - One World Tree",Ancestry.com,,,,,,REPO8,"2008-10-23 04:09:35",Larry
28702,Earlylds,S26648,,,"USA - Utah - Utah Marriage Index",,"Salt Lake Deseret News, 1850 to present",,,,,REPO31,"0000-00-00 00:00:00",Larry
29201,Earlylds,S27147,,,"USA - New York - New York Passenger Lists, 1851-1891",,,,,,,REPO8,"0000-00-00 00:00:00",Larry
29202,Earlylds,S27148,,,"England - 1861 England Census","The National Archives of the UK (TNA)","Original data: Census Returns of England and Wales, 1861.",,,,,REPO8,"0000-00-00 00:00:00",Larry
29203,Earlylds,S27149,"Film #424 and 425",,"Manuscript - Journal of Elias Smith of Salt Lake City","Elias Smith",,,,,,REPO4,"0000-00-00 00:00:00",Larry
29204,Earlylds,S27150,,,"Database - Utah, Obituary Index",,,,,,,REPO4,"0000-00-00 00:00:00",Larry
29205,Earlylds,S27151,,,"Internet Link - Western State Marriage Index, BYU-I",,,,,,,REPO17,"2008-10-23 04:14:10",Larry
29877,Earlylds,S27823,"FHL US/CAN Book 978.2278 D3n",,"USA - Nebraska - Nemaha County Nebraska",,,,,,,REPO4,"0000-00-00 00:00:00",Larry
29878,Earlylds,S27824,"FHL US/CAN Book 977.811a V3g",,"Book - Gone, But Not Forgotten.  Directory of the Deceased in Atchison County, Missouri",,,,,,,REPO4,"0000-00-00 00:00:00",Larry
29888,Earlylds,S27834,,,"Book - Biography and Family Record of Lorenzo Snow","Snow, Eliza Roxey Snow Smith",,,,,,REPO3,"0000-00-00 00:00:00",Larry
30237,Earlylds,S28183,"FHL US/CAN Film",,"Book - Benjamin Franklin Hall and Mary Serepta Lake : their ancestors and descendants","Hall, Foster V.","Spokane, Washington : F.V. Hall, c1996",,,,,REPO4,"0000-00-00 00:00:00",Larry
30742,Earlylds,S28688,"BX 8608 .A1a no.6059",,"Book - Archaeological investigations off the Lucius N. Scovil Bakery, Nauvoo, Illinois","Berge, Dale L.","Nauvoo Illinois, Nauvoo Restoration, Inc., 1978",,,,,REPO2,"0000-00-00 00:00:00",Larry
31000,Earlylds,S28946,"FHL #1036342 Item 2",,"Book - The Life of Thomas Steed from His Own Diary, 1826-1910","Thomas Steed",,,,,,REPO4,"0000-00-00 00:00:00",Larry
31006,Earlylds,S28952,"Layton, Utah: Tell My Story Pub., 2001. 1 v. (unpa",,"Book - Tell My Story Too: A Collection of Biographical Sketches of Pioneers and Rescuers of the Willie, Martin, Hodgett","Allphin, Jolene S.","Daughters of the Utah Pioneers,",,,,,REPO32,"0000-00-00 00:00:00",Larry
31174,Earlylds,S29120,,,"Book - Women of Nauvoo",,,,,,,REPO2,"0000-00-00 00:00:00",Larry
31692,Earlylds,S29638,"BX 8688.3 .D565fi 2004",,"Book - The First Wife","Diepeveen, Brenda Jensen",,,,,,REPO2,"0000-00-00 00:00:00",Larry
31693,Earlylds,S29639,"MSS Film 920 no.52",,"Manuscript - Biographical Sketch of Ephriam Henry Williams 1842-1919","Ephriam Henry Williams","Part of 1 Microfilm, 3 pages typescript",,,,,REPO2,"0000-00-00 00:00:00",Larry
31703,Earlylds,S29649,,,"Internet Link - Illinois State Archives",,,,,,,REPO33,"2008-10-23 04:02:27",Larry
31818,Earlylds,S29764,,,"Article - ""Suffering and Death on the Plains of Iowa""","Susan Easton Black","Brigham Young University Studies, Vol. 21, No. 4, Fall 1981",,,,,REPO2,"0000-00-00 00:00:00",Larry
32260,Earlylds,S30206,"921.73 An43j",,"Book - Journal of Truman Osborne Angell","Angell, Truman O.",1810-1887,,,,,REPO4,"0000-00-00 00:00:00",Larry
32261,Earlylds,S30207,,,"Article - ""William Weeks : Architect of the Nauvoo Temple""","Joseph Earl Arrington","Brigham Young University Studies, Vol. 19, No. 3, Spring 1979, p. 337-359",,,,,REPO34,"0000-00-00 00:00:00",Larry
32289,Earlylds,S30235,"FHL Film #  859998",,"USA - Massachusetts - Births, intentions, marriages, deaths, 1641-1843, 1768-1849","Woburn Massachusetts Town Clerk","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1972",,,,,REPO4,"0000-00-00 00:00:00",Larry
32290,Earlylds,S30236,"FHL Film # 902005",,"Manuscript - Births, marriages, and deaths, 1693-1805","Marlborough Massachusetts Town Clerk",,,,,,REPO4,"0000-00-00 00:00:00",Larry
32291,Earlylds,S30237,"929.273 Sn61sg",,"Book - The Richard Snow Family","George Burwell Snow","Long Beach, California : G.B. Snow",,,,,REPO4,"0000-00-00 00:00:00",Larry
32292,Earlylds,S30238,"974.29/C1 H2r",,"Book - History of Chesterfield, Cheshire County, New Hampshire","Oran E. Randall","Brattleboro, Vermont : D. Leonard, 1882",,,,,REPO4,"0000-00-00 00:00:00",Larry
34283,Earlylds,S32229,,,"Internet Link - Cann Family History",,,,,,,REPO35,"2008-10-23 03:54:22",Larry
34494,Earlylds,S32440,,,"Internet Link - Descendants of Wolphert Gerretse Van Kouwenhoven",,,,,,,,"2008-10-23 03:56:23",Larry
35125,Earlylds,S33071,,,"Article - ""The Richards Family""",,"Ensign, February 1992, Church of Jesus Christ of Latter-day Saints",,,,,REPO15,"0000-00-00 00:00:00",Larry
35295,Earlylds,S33241,"289.333 D293s",,"Book - The story of the church : a history of the Church of Jesus Christ of Latter Day Saints, and of its legal successor","Inez Smith DavisIndependence, Missouri : Herald Pub., 1948, c1943",,,,,,REPO4,"0000-00-00 00:00:00",Larry
35394,Earlylds,S33340,,,"England - 1851 England Census","The National Archives of the UK (TNA)","Original data: Census Returns of England and Wales, 1851.",,,,,REPO8,"0000-00-00 00:00:00",Larry
