ID,gedcom,place,longitude,latitude,zoom,placelevel,temple,geoignore,notes
109247,Earlylds,"Newberry, Lycoming, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109246,Earlylds,"Milford, Hillsborough, New Hampshire, USA",NULL,NULL,NULL,NULL,0,0,NULL
109245,Earlylds,"Norwalk, Huron, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109244,Earlylds,"Stockton, San Joaquin, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109243,Earlylds,", Stewart, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109242,Earlylds,"Irasburg, Orleans, Vermont, USA",NULL,NULL,NULL,NULL,0,0,NULL
109241,Earlylds,"Tulpehocken, Berks, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109240,Earlylds,"Mooers, Clinton, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109239,Earlylds,"Rupert, Minidoka, Idaho, USA",NULL,NULL,NULL,NULL,0,0,NULL
109238,Earlylds,"Morgan Park, Cook, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
